Name,Team,Position,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,Freedom,1st Move,2nd Move,3rd Move,4th Move
Ken Cake,Inazuma KFC,FW,Earth,123,88,49,40,40,40,51,49,46,0,Spiral Shot,Sumo Stomp,Horn Train,Cross Drive
Ingram,Umbrella,GK,Fire,149,113,44,71,52,74,47,57,78,0,Tornado Catch,Spinning Shot,Whirlwind,Back Tornado
Banker,Umbrella,GK,Wind,138,122,50,45,51,63,50,45,75,0,Spinning Shot,Comet Shot,Phantom Shot,Wrath Shot
Sefton,Umbrella,DF,Wind,151,109,53,49,61,54,67,54,55,0,Spinning Cut,Whirlwind Twister,Kung Fu Header,Spider Web
Caperock,Umbrella,DF,Wind,140,113,54,50,46,45,58,48,53,0,Killer Slide,Toughness Block,Blade Attack,Utter Gutsiness Bat
Strike,Umbrella,DF,Fire,132,109,48,50,64,47,56,51,53,0,Quick Draw,Rolling Kick,Blade Attack,Cross Drive
Chops,Umbrella,DF,Wood,136,120,62,63,55,44,53,55,49,0,Coil Turn,Blade Attack,Monkey Turn,Cyclone
Porter,Umbrella,DF,Earth,145,112,45,56,44,60,44,52,46,0,Killer Slide,Horn Train,The Wall,Rolling Hell
Molehill,Umbrella,DF,Wind,123,113,53,48,68,48,55,49,46,0,Rolling Kick,Flurry Dash,Afterimage,Twin Boost
Most,Umbrella,DF,Earth,191,165,65,60,60,68,63,61,64,0,Dash Accelerator,Super Armadillo,Sumo Stomp,Pressure Punch
Chaney,Umbrella,MF,Wood,136,121,46,48,48,45,66,48,49,0,Grenade Shot,Dynamite Shot,Utter Gutsiness Bat,Back Tornado
Rhymes,Umbrella,MF,Wind,140,140,47,48,52,53,46,45,48,0,Rodeo Clown,Whirlwind Twister,Run Ball Run,Rolling Hell
Tunk,Umbrella,MF,Fire,145,109,55,53,44,62,55,47,54,0,Spiral Shot,Black Magic,Breakthrough,Tarzan Kick
Morefield,Umbrella,MF,Wind,167,129,59,56,58,52,48,52,72,0,Flurry Dash,Spinning Shot,Dynamite Shot,Freeze Shot
Scott,Umbrella,MF,Wood,129,109,44,52,47,50,55,52,44,0,Defence Scan,Magic,Fake Ball,Attack Scan
Edmonds,Umbrella,FW,Fire,143,124,60,68,45,51,44,54,71,36,Dash Accel,Spinning Shoot,Heat Tackle,Gorimuchuu
Cyborg,Umbrella,FW,Wood,123,165,49,55,63,51,51,56,65,0,Snake Shot,Attack Scan,Zigzag Spark,Patriot Shot
Balt Decker,Connection Map,DF,Wind,169,174,56,46,47,60,75,61,67,23,Quick Draw,Tatsumaki Senpuu,Dynamite Shoot,Back Tornado
Art Pendragon,Connection Map,GK,Wind,132,136,60,65,46,63,63,71,59,16,Tornado Catch,Shoot Pocket,Onryou,Kogarashi
Nev Erin,Connection Map,FW,Wind,121,176,60,70,71,61,76,68,71,21,Dash Accel,Coil Turn,Cross Drive,Divine Arrow
Christian Dear,Connection Map,DF,Wood,118,100,59,64,76,64,44,52,55,28,Rolling Kick,Spinning Cut,Ushiro no Shoumen,Kamaitachi
Jeeves Dropper,Connection Map,MF,Wind,96,142,45,61,58,53,68,60,54,24,Shippuu Dash,Monkey Turn,Dokugiri no Jutsu,Moonsault
Iggy Loyaller,Connection Map,FW,Wood,83,158,61,62,53,62,34,64,53,16,Dash Accel,Spinning Shoot,Cross Drive,Blade Attack
Spike Needle,Connection Map,GK,Wind,151,130,42,32,39,60,71,59,54,17,Killer Blade,Power Shield,Coil Turn,Full Power Shield
Chaz Biggins,Connection Map,FW,Earth,176,98,63,61,28,63,57,64,56,15,Shikofumi,Dynamite Shoot,Tsuchi Daruma,Jigoku Guruma
Macky Valley,Connection Map,FW,Wind,116,108,54,59,43,44,47,52,78,19,Shippuu Dash,Grenade Shot,Cross Drive,Divine Arrow
Percy Coldstair,Connection Map,DF,Wood,107,156,42,59,56,52,65,64,63,22,Super Scan (OF),Super Scan (DF),Judge Through,Bunshin Feint
Hank Halberd,Connection Map,GK,Wood,195,156,62,62,59,61,37,62,55,18,Killer Blade,Kamikakushi,Killer Slide,Tsumuji
Don Keys,Connection Map,FW,Fire,129,150,45,36,32,53,64,55,56,16,Kamikakushi,Psycho Shot,Illusion Ball,Shine Drive
Berty Adman,Connection Map,GK,Earth,129,136,48,52,56,59,71,62,55,20,Nekketsu Punch,Toughness Block,Rocket Kobushi,Tsumuji
Joe Straiter,Connection Map,GK,Fire,171,132,56,53,52,71,58,58,59,22,Pressure Punch,Quick Draw,Tsumuji,Full Power Shield
Rocky Shears,Connection Map,GK,Earth,167,158,58,58,60,79,63,60,60,26,Rocket Kobushi,Makiwari Chop,Kagome Kagome,Counterstrike
Sham Spike,Connection Map,MF,Earth,156,140,60,58,52,56,55,56,58,10,Gorimuchuu,Horn Train,Illusion Ball,Mogura Feint
Colin Salts,Connection Map,FW,Wood,132,110,63,44,46,41,44,48,41,26,Snake Shot,Hyakuretsu Shot,Kumo no Ito,Bunshin Shoot
Tony Hacker,Connection Map,MF,Wood,79,168,52,60,67,69,76,75,64,33,Noroi,Super Scan (DF),Kage Nui,Bunshin Shoot
Andrew Meikle,Connection Map,GK,Fire,165,168,48,56,61,48,63,53,62,20,Nekketsu Punch,Pressure Punch,The Wall,Gigant Wall
Arthur Dox,Connection Map,FW,Earth,81,144,60,67,40,66,60,68,55,15,Spiral Shot,Quick Draw,Meteor Attack,Jigoku Guruma
Len Scapp,Connection Map,GK,Earth,127,150,41,36,33,56,74,56,63,19,Pressure Punch,Power Shield,Spinning Cut,Makiwari Chop
Penfold Pulper,Connection Map,FW,Wind,99,158,41,52,59,59,71,64,62,38,Grenade Shot,Tarzan Kick,Zigzag Spark,Run Ball Run
Carl Gnu,Connection Map,FW,Wood,77,152,42,55,53,62,71,72,54,15,Dynamite Shoot,Dash Accel,Kung Fu Head,Shine Drive
Scean Spector,Connection Map,DF,Wind,138,154,47,30,28,56,62,56,60,20,Doppelganger,Noroi,Onryou,Ushiro no Shoumen
Bo Ling,Connection Map,DF,Wood,147,146,45,55,79,50,56,57,52,16,Killer Slide,Zigzag Spark,Cyclone,Kamaitachi
Troy Trucker,Connection Map,FW,Wind,77,156,66,53,63,58,60,79,52,17,Coil Turn,Meteor Attack,Kung Fu Head,Kamaitachi
Bos Horne,Connection Map,DF,Earth,85,146,60,61,54,56,59,68,55,17,Doppelganger,Gorimuchuu,Heat Tackle,Kagome Kagome
Pete Grimes,Connection Map,GK,Fire,158,176,44,53,60,41,52,62,52,31,Pressure Punch,Toughness Block,Coil Turn,Full Power Shield
Homer Pidgeon,Connection Map,DF,Fire,213,130,60,60,56,52,60,77,56,15,Coil Turn,Monkey Turn,Cross Drive,Harvest
Kit Chapman,Connection Map,FW,Fire,125,153,69,59,57,54,53,62,61,22,Grenade Shot,Dokonjou Bat,Tatsumaki Senpuu,Back Tornado
Joe Nalist,Connection Map,GK,Wood,191,142,63,53,55,68,38,68,58,16,Killer Blade,Shoot Pocket,Kumo no Ito,Dokugiri no Jutsu
Davy Johns,Connection Map,FW,Wind,88,118,68,51,41,60,71,56,40,13,Suisei Shoot,Meteor Attack,Earthquake,Tsuchi Daruma
Phil Anthropic,Connection Map,FW,Earth,136,124,77,77,78,78,68,43,75,16,Kamikakushi,Onryou,Noroi,Tsuchi Daruma
Florian Hutter,Connection Map,MF,Fire,165,196,55,54,52,56,59,62,57,27,Tamanori Pierrot,Gorimuchuu,Dynamite Shoot,Illusion Ball
Peter Malus,Connection Map,MF,Earth,125,133,63,63,56,53,60,61,53,22,Tamanori Pierrot,Gorimuchuu,Judge Through,Tsuchi Daruma
Dom Ittory,Connection Map,GK,Earth,160,132,51,52,60,44,62,62,52,29,Toughness Block,Coil Turn,Rocket Kobushi,Counterstrike
Sol Crater,Connection Map,FW,Fire,171,138,53,52,52,56,52,57,56,32,Spinning Shoot,Tarzan Kick,Mogura Feint,Tsuchi Daruma
Dex Territy,Connection Map,GK,Earth,167,154,60,52,58,52,59,56,56,15,Killer Blade,Toughness Block,Makiwari Chop,Kage Nui
Ramsey Faroe,Connection Map,GK,Fire,217,82,37,77,32,71,30,79,34,15,Phantom Shoot,Kumo no Ito,Dokugiri no Jutsu,God Hand
Tim Piece,Connection Map,FW,Wind,156,144,47,61,54,60,66,60,62,15,Suisei Shoot,Quick Draw,Run Ball Run,Super Scan (OF)
Hike Basher,Connection Map,FW,Wood,149,152,60,60,54,56,61,54,63,34,Rolling Kick,Kamikakushi,Psycho Shot,Death Zone
Madison Cabinet,Connection Map,GK,Fire,167,172,40,52,61,42,60,63,57,15,Grenade Shot,Patriot Shoot,Illusion Ball,Bakuretsu Punch
Viv Grey,Connection Map,DF,Fire,140,198,55,57,42,44,47,61,56,26,Suisei Shoot,Condor Dive,Illusion Ball,Psycho Shot
Dan Drobium,Connection Map,FW,Wood,156,150,52,60,62,53,56,62,57,16,Phantom Shoot,Doppelganger,Psycho Shot,Dokugiri no Jutsu
Walter Mendip,Connection Map,FW,Wind,116,102,61,62,40,51,42,54,59,37,Snake Shot,Gorimuchuu,Tsuchi Daruma,Reflect Buster
Cal Cooler,Connection Map,FW,Wood,191,152,68,56,61,60,55,69,57,23,Grenade Shot,Freeze Shot,Tamanori Pierrot,Cyclone
Shirley Ladyman,Connection Map,DF,Wood,167,150,51,31,30,53,68,60,62,19,Coil Turn,Tatsumaki Senpuu,Cyclone,Kamaitachi
Callan Trens,Connection Map,FW,Fire,121,153,62,61,57,65,55,52,57,22,Spiral Shot,Tatsumaki Senpuu,Twin Boost,Kamaitachi
Grant Slammer,Connection Map,FW,Wind,149,152,48,57,63,43,57,54,58,16,Spiral Shot,Psycho Shot,Bunshin Shoot,Zanzou
Pascal Richter,Connection Map,MF,Earth,167,138,51,60,62,45,52,60,57,30,Horn Train,Zigzag Spark,Mogura Feint,Cyclone
Florian Selles,Connection Map,FW,Wood,158,150,52,60,59,63,59,52,52,28,Rolling Kick,Phantom Shoot,Dash Accel,Dash Storm
Oscar Esher,Connection Map,GK,Wind,81,94,35,31,28,36,38,32,32,39,Tamanori Pierrot,Shikofumi,Toughness Block,Gigant Wall
Perry Pincher,Connection Map,FW,Earth,162,140,58,56,55,52,59,63,61,26,Spiral Shot,Kung Fu Head,Zigzag Spark,Dash Storm
Bill Phee,Connection Map,GK,Wood,99,130,70,52,52,60,60,69,60,20,Nekketsu Punch,Blade Attack,Bakuretsu Punch,Hurricane Arrow
Sonny Rentman,Connection Map,FW,Earth,118,178,56,71,60,69,62,63,57,17,Spinning Shoot,Grenade Shot,Spinning Cut,Shine Drive
Rod Entwhistle,Connection Map,GK,Wind,107,136,66,58,56,68,39,79,60,15,Killer Blade,Coil Turn,Rocket Kobushi,Cyclone
Alec Dote,Connection Map,GK,Wind,149,198,41,55,64,40,60,58,60,19,Kage Nui,Phantom Shoot,Freeze Shot,Kagome Kagome
Pay Chance,Connection Map,GK,Fire,173,141,59,56,53,59,60,56,56,10,Nekketsu Punch,Toughness Block,Tsumuji,Bakuretsu Punch
John Corder,Connection Map,FW,Fire,145,132,56,63,62,61,62,56,52,26,Suisei Shoot,Gorimuchuu,Heat Tackle,Patriot Shoot
Carey Ginu,Connection Map,FW,Wood,88,132,40,52,60,62,78,55,60,17,Shikofumi,Gorimuchuu,Dokonjou Bat,Onryou
Jack Trumper,Connection Map,FW,Wind,171,174,40,58,68,44,57,57,52,22,Spinning Shoot,Kamikakushi,Cross Drive,Divine Arrow
Colin Lection,Connection Map,DF,Fire,158,154,56,57,52,60,52,62,52,13,Killer Slide,Fake Ball,Heat Tackle,Cyclone
Conor Abley,Connection Map,GK,Fire,94,148,64,58,62,67,38,78,62,17,Pressure Punch,Wild Claw,Harvest,Bakuretsu Punch
Rick Hatter,Connection Map,FW,Fire,191,156,60,61,64,65,64,62,64,19,Grenade Shot,Dynamite Shoot,Patriot Shoot,Divine Arrow
Percy Stent,Connection Map,GK,Fire,151,173,76,63,60,62,68,69,67,28,Power Shield,The Wall,Makiwari Chop,Tsumuji
Luke Raffles,Connection Map,MF,Wood,107,154,62,59,56,52,63,68,60,14,Quick Draw,Tarzan Kick,Judge Through,Ushiro no Shoumen
Trey Spotter,Connection Map,MF,Wind,149,132,47,54,61,51,51,44,52,15,Magic,Run Ball Run,Horn Train,Illusion Ball
Hollis Ticure,Connection Map,FW,Fire,193,138,58,60,53,59,52,69,52,16,Shikofumi,Grenade Shot,Meteor Attack,Mogura Feint
Dash Dotter,Connection Map,MF,Wind,96,142,51,52,61,52,65,62,58,23,Tatsumaki Senpuu,Zigzag Spark,Illusion Ball,Dash Storm
Guy Dance,Connection Map,MF,Earth,81,144,42,58,63,62,60,67,55,24,Dash Accel,Gorimuchuu,Super Scan (DF),Tsuchi Daruma
Brendan Branch,Connection Map,GK,Earth,79,142,44,58,60,61,68,56,55,18,Suisei Shoot,Pressure Punch,Quick Draw,Shoot Pocket
Slim Lanky,Connection Map,GK,Wind,118,142,44,36,35,58,66,55,63,20,Killer Blade,Makiwari Chop,Cyclone,Bakuretsu Punch
Bob Whittle,Connection Map,FW,Wind,140,164,60,68,70,64,70,64,62,20,Suisei Shoot,Kung Fu Head,Back Tornado,Divine Arrow
Ringo Stagg,Connection Map,DF,Wind,140,165,60,65,57,67,56,56,63,21,Coil Turn,Zigzag Spark,Zanzou,Harvest
Sam O'Reilly,Connection Map,MF,Fire,118,104,63,54,44,44,41,55,56,14,Tatsumaki Senpuu,Kamaitachi,Bunshin Shoot,Blade Attack
Theo Broma,Connection Map,DF,Fire,140,128,52,54,49,49,41,55,53,31,Rolling Kick,Spinning Cut,Ushiro no Shoumen,Kung Fu Head
Gwyn Penn,Connection Map,GK,Wind,165,176,49,57,71,43,58,53,61,17,Killer Slide,Makiwari Chop,Kogarashi,Freeze Shot
Thor Toise,Connection Map,MF,Earth,118,110,52,54,48,41,50,59,53,26,Shikofumi,Horn Train,Earthquake,Mega Quake
Nick Yergrub,Connection Map,FW,Wind,99,152,62,70,48,76,52,76,62,18,Spinning Shoot,Tamanori Pierrot,Condor Dive,Dokonjou Bat
Don Snow,Connection Map,GK,Fire,200,130,60,58,60,64,35,64,61,21,Pressure Punch,Toughness Block,Dash Accel,Kogarashi
Walter Card,Connection Map,FW,Earth,79,186,32,30,79,33,39,36,35,21,Shikofumi,Noroi,Ushiro no Shoumen,Tsuchi Daruma
Sonny Welkin,Connection Map,MF,Fire,167,144,68,62,54,60,35,68,54,15,Shikofumi,Horn Train,Super Armadillo,Boost Glider
Joe Lamkin,Connection Map,MF,Wood,162,152,52,60,56,53,62,58,56,14,Tamanori Pierrot,Snake Shot,Magic,Kumo no Ito
Bud Hunter,Connection Map,GK,Wood,134,132,47,56,59,52,63,64,56,23,Killer Blade,Blade Attack,Magic,Illusion Ball
Crane Clawson,Connection Map,MF,Wind,145,157,60,64,60,68,56,52,61,18,Gorimuchuu,Judge Through,Dokugiri no Jutsu,Dokonjou Bat
Ernest Byer,Connection Map,FW,Fire,211,178,56,57,52,57,61,78,61,27,Fire Tornado,Dokonjou Bat,Dokugiri no Jutsu,Kumo no Ito
Thomas Cott,Connection Map,GK,Wind,147,150,53,59,53,56,63,59,56,16,Tornado Catch,Doppelganger,Tsumuji,Kage Nui
Bo Luger,Connection Map,FW,Wood,158,148,78,56,54,56,54,58,61,27,Tamanori Pierrot,Illusion Ball,Tsuchi Daruma,Run Ball Run
Rory Polisher,Connection Map,GK,Fire,173,142,47,59,61,43,58,61,62,14,Nekketsu Punch,Power Shield,Mogura Feint,Full Power Shield
Willow Withers,Connection Map,MF,Wood,90,152,42,56,59,55,60,62,76,21,Shippuu Dash,Quick Draw,Suisei Shoot,Zigzag Spark
Hal Leeward,Connection Map,MF,Wood,160,138,55,71,75,56,58,63,56,33,Magic,Judge Through,Onryou,Fake Ball
Den Taligene,Connection Map,MF,Fire,129,122,72,49,50,48,50,40,70,26,Gorimuchuu,Super Scan (OF),Super Scan (DF),Dokugiri no Jutsu
Isaiah Shutt,Connection Map,FW,Earth,107,134,64,68,54,60,52,56,52,20,Spinning Cut,Cross Drive,Gorimuchuu,Back Tornado
Sandy Hope,Connection Map,DF,Earth,83,134,68,58,52,70,32,60,63,14,Coil Turn,Dash Accel,Cyclone,Kamaitachi
Gill O'Mend,Connection Map,MF,Fire,160,142,56,60,56,55,57,52,57,40,Tamanori Pierrot,Horn Train,Harvest,Shine Drive
Tim Mittus,Connection Map,DF,Earth,110,129,68,56,62,56,53,65,60,16,Killer Slide,Judge Through,Ushiro no Shoumen,Twin Boost
Vince Bull,Connection Map,MF,Wind,112,133,55,56,52,60,64,64,57,23,Phantom Shoot,Noroi,Onryou,Psycho Shot
Gnashers,Connection Map,GK,Fire,88,92,71,71,69,71,78,28,70,0,Wild Claw,Horn Train,Blazing Knuckle,Whirlwind
Cody Barani,Connection Map,GK,Earth,140,132,47,35,32,61,68,61,52,15,Tornado Catch,Killer Slide,Tsumuji,Harvest
John Demi,Connection Map,DF,Earth,167,148,59,62,60,71,62,60,57,12,Spinning Cut,Spinning Shoot,Bunshin Feint,Bunshin Shoot
Bud Dahman,Connection Map,FW,Wood,118,100,54,56,51,48,43,59,54,35,Kamikakushi,Doppelganger,Psycho Shot,Divine Arrow
Les Tarrant,Connection Map,GK,Wind,123,118,52,63,40,44,47,53,56,14,Killer Blade,Makiwari Chop,Kagome Kagome,Bakuretsu Punch
Buck Teachey,Connection Map,DF,Earth,134,164,54,60,54,60,60,52,56,15,Quick Draw,Zigzag Spark,Kagome Kagome,Jigoku Guruma
Monty Burrows,Connection Map,GK,Earth,114,136,29,32,65,38,60,57,64,19,Killer Blade,Makiwari Chop,Kogarashi,Spinning Cut
Ryder Wheeling,Connection Map,DF,Earth,121,101,60,55,49,44,48,56,49,11,Quick Draw,Kumo no Ito,Kagome Kagome,Hawk Shot
Wes Abbey,Connection Map,FW,Wood,167,158,68,64,64,61,62,66,60,13,Tsuchi Daruma,Mogura Feint,The Wall,Mega Quake
Benedict Eggers,Connection Map,DF,Wood,101,148,64,60,58,71,36,65,62,17,Shikofumi,Gorimuchuu,Earthquake,Tsuchi Daruma
Nick Savers,Connection Map,GK,Wind,134,170,71,70,68,72,40,76,65,27,Tornado Catch,Tsumuji,Kogarashi,Back Tornado
Sly Winker,Connection Map,DF,Wind,125,156,48,34,28,62,72,52,52,16,Quick Draw,Shippuu Dash,Suisei Shoot,Kagome Kagome
Manny Carbs,Connection Map,DF,Earth,151,140,50,55,68,42,53,59,54,14,Horn Train,Mogura Feint,Earthquake,Harvest
Jonny Strutt,Connection Map,FW,Wood,140,120,40,48,53,55,57,47,46,9,Hyakuretsu Shot,Illusion Ball,Twin Boost,Blade Attack
Arthur Myrddin,Connection Map,DF,Fire,158,140,60,58,63,61,55,60,54,23,Killer Slide,Judge Through,Heat Tackle,Shine Drive
Aaron Peacy,Connection Map,GK,Earth,77,156,42,54,56,59,71,52,52,18,Super Scan (DF),Shoot Pocket,Counterstrike,Kage Nui
Hank Shortman,Connection Map,MF,Wind,165,152,47,52,74,43,52,61,52,20,Tatsumaki Senpuu,Hawk Shot,Bunshin Feint,Bunshin Shoot
Dylan Swan,Connection Map,FW,Earth,134,128,44,40,40,43,49,41,47,33,Grenade Shot,Dynamite Shoot,Meteor Attack,Patriot Shoot
Andy Sided,Connection Map,DF,Earth,134,157,63,66,60,67,59,59,52,20,Dash Accel,Zigzag Spark,Illusion Ball,Moonsault
Michael Angeloni,Connection Map,GK,Wind,156,158,40,60,74,46,60,56,61,19,Nekketsu Punch,Rocket Kobushi,Full Power Shield,Tsuchi Daruma
Teagen Brewer,Connection Map,DF,Wood,147,132,47,42,40,60,67,57,56,16,Killer Slide,The Wall,Harvest,Shikofumi
Seymour Senary,Connection Map,FW,Fire,83,144,45,55,52,56,71,62,59,23,Bunshin Shoot,Bunshin Feint,Phantom Shoot,Onryou
Armstrong Peck,Connection Map,GK,Fire,114,108,53,48,54,57,42,54,47,9,Pressure Punch,Tatsumaki Senpuu,Bakuretsu Punch,Dokugiri no Jutsu
Colin Eager,Connection Map,FW,Earth,121,115,52,60,45,49,48,52,56,37,Snake Shot,Tarzan Kick,Back Tornado,Blade Attack
Lon Grainger,Connection Map,GK,Fire,213,146,60,52,55,52,63,72,60,18,Power Shield,Makiwari Chop,Full Power Shield,Spinning Cut
Tom Felix,Connection Map,MF,Wind,143,150,54,60,71,63,71,61,59,21,Dash Accel,Bunshin Feint,Tarzan Kick,Judge Through
Fred Makepeace,Connection Map,DF,Wood,88,115,40,63,29,76,42,55,40,8,Killer Slide,Spinning Cut,Zigzag Spark,Zanzou
Hunter Glory,Connection Map,MF,Wood,138,176,62,70,63,71,53,55,60,34,Noroi,Onryou,Super Scan (OF),Kung Fu Head
Shay Chez,Connection Map,MF,Earth,134,156,56,66,59,61,63,52,63,21,Super Armadillo,Heat Tackle,Grenade Shot,Patriot Shoot
Preston Gumbs,Connection Map,FW,Wind,129,101,61,62,55,45,48,63,63,18,Rolling Kick,Hyakuretsu Shot,Tatsumaki Senpuu,Boost Glider
Buster Clout,Connection Map,DF,Fire,112,156,60,62,63,69,59,56,63,15,Dynamite Shoot,Patriot Shoot,Shikofumi,The Wall
Sam Firman,Connection Map,GK,Fire,90,144,60,54,60,57,52,67,52,18,Killer Slide,Makiwari Chop,Tsumuji,Cyclone
Cruz Ligner,Connection Map,MF,Earth,169,152,59,53,52,60,62,59,58,30,Spinning Shoot,Dash Accel,Spinning Cut,Moonsault
Olly Popman,Connection Map,MF,Wind,83,158,67,63,61,58,53,60,62,16,Shikofumi,Dash Accel,Gorimuchuu,Earthquake
Shemmy Ramis,Connection Map,MF,Earth,173,130,60,60,60,60,62,63,56,15,Coil Turn,Tatsumaki Senpuu,Magic,Kamaitachi
Rab Acus,Connection Map,FW,Wind,77,196,48,63,53,52,64,57,58,20,Rolling Kick,Tarzan Kick,Super Scan (OF),Super Scan (DF)
Ryder Waverly,Connection Map,FW,Fire,125,146,49,39,33,62,60,62,56,16,Grenade Shot,Kung Fu Head,Zanzou,Judge Through
Adam Nesiac,Connection Map,DF,Earth,158,78,68,70,55,76,52,61,55,24,Onryou,Dash Accel,Spinning Cut,Ushiro no Shoumen
Tosh Coach,Connection Map,DF,Earth,99,96,34,70,39,78,37,32,32,17,Coil Turn,Doppelganger,Noroi,The Wall
Max Bright,Connection Map,MF,Wind,147,133,50,44,41,55,67,52,58,15,Tatsumaki Senpuu,Magic,Phantom Shoot,Shine Drive
Harry Harper,Connection Map,GK,Wind,103,132,43,52,60,60,60,56,52,16,Killer Blade,Makiwari Chop,Kogarashi,Dynamite Shoot
Moses Pumper,Connection Map,FW,Fire,85,138,63,67,46,70,60,68,54,20,Onryou,Noroi,Psycho Shot,Mogura Feint
Onslow Ball,Connection Map,DF,Wood,85,146,58,69,47,70,61,63,60,17,Shikofumi,Dynamite Shoot,Tamanori Pierrot,Fake Ball
Django Keyes,Connection Map,GK,Wind,85,198,43,76,46,76,42,38,41,28,Pressure Punch,Shoot Pocket,Kumo no Ito,Counterstrike
Cory Andish,Connection Map,FW,Wood,134,136,59,70,47,69,62,62,57,20,Tamanori Pierrot,Monkey Turn,Run Ball Run,Back Tornado
Winston Windfall,Connection Map,MF,Wood,140,129,50,48,40,62,68,58,53,16,Super Armadillo,Heat Tackle,Shine Drive,Harvest
Trey Dalbum,Connection Map,FW,Wood,112,126,52,54,41,49,45,62,60,30,Illusion Ball,Freeze Shot,Back Tornado,Tamanori Pierrot
Mark Tinney,Connection Map,MF,Earth,149,136,60,58,56,53,52,53,60,12,Tatsumaki Senpuu,Coil Turn,Kamaitachi,Cyclone
Chaz Anover,Connection Map,MF,Wood,151,158,53,62,53,61,58,56,53,28,Tatsumaki Senpuu,Illusion Ball,Coil Turn,Cyclone
Theo Riser,Connection Map,MF,Fire,140,126,42,60,60,64,43,44,48,15,Tatsumaki Senpuu,Spinning Cut,Kamaitachi,Hurricane Arrow
Rob Ottman,Connection Map,GK,Wind,121,108,58,52,55,48,54,54,58,15,Pressure Punch,Tatsumaki Senpuu,Makiwari Chop,Bakuretsu Punch
Glen Garry,Connection Map,MF,Wind,118,126,48,51,44,44,51,48,40,31,Gorimuchuu,Illusion Ball,Moonsault,Kagome Kagome
Gauge Diven,Connection Map,DF,Fire,118,186,54,61,59,61,57,55,55,16,Killer Slide,Zigzag Spark,Cyclone,Kamaitachi
Al Mannack,Connection Map,DF,Earth,103,156,40,56,63,63,63,60,55,22,Zigzag Spark,Twin Boost,Hurricane Arrow,Divine Arrow
Pica Vellosum,Connection Map,FW,Earth,145,132,59,56,56,56,52,60,63,38,Onryou,Psycho Shot,Bunshin Shoot,Bunshin Feint
Bramley Cox,Connection Map,FW,Wind,158,158,64,62,54,71,61,52,60,17,Noroi,Onryou,Kamikakushi,Psycho Shot
Rufus Judge,Connection Map,FW,Fire,165,134,52,58,52,61,52,52,63,29,Killer Slide,Condor Dive,Bunshin Shoot,Bunshin Feint
Adam Icklock,Connection Map,GK,Fire,138,128,45,44,42,48,42,42,44,45,Nekketsu Punch,Toughness Block,Tamanori Pierrot,Kogarashi
Creed Wrighter,Connection Map,FW,Wood,165,180,55,56,58,53,56,60,53,21,Tamanori Pierrot,Phantom Shoot,Run Ball Run,Psycho Shot
Barry Sterr,Connection Map,MF,Wind,169,138,41,63,61,48,53,62,61,21,Dash Accel,Doppelganger,Harvest,Dash Storm
Finn Carper,Connection Map,GK,Earth,129,112,62,52,49,60,42,63,57,17,Wild Claw,Horn Train,Judge Through,Counterstrike
Guy Forker,Connection Map,DF,Fire,129,88,50,50,44,51,48,44,46,19,Shikofumi,Doppelganger,The Wall,Tsuchi Daruma
Toby Patient,Connection Map,DF,Wood,195,152,44,57,55,60,71,32,58,16,Shikofumi,Earthquake,Mogura Feint,Tsuchi Daruma
Dec Orum,Connection Map,FW,Wood,209,140,70,56,63,56,63,74,60,21,Onryou,Kamikakushi,Psycho Shot,Illusion Ball
Bill Looney,Connection Map,DF,Wood,114,172,52,61,72,63,61,53,52,17,The Wall,Earthquake,Mega Quake,Shikofumi
Pete Sadow,Connection Map,MF,Fire,103,146,40,62,52,61,76,72,60,24,Dash Accel,Judge Through,Heat Tackle,Fire Tornado
Benny Factor,Connection Map,GK,Fire,154,142,56,61,54,56,58,63,58,8,Killer Blade,Makiwari Chop,Full Power Shield,Kagome Kagome
Cole Easteroll,Connection Map,FW,Wood,123,106,40,51,48,42,45,49,40,39,Tarzan Kick,Back Tornado,Illusion Ball,Bunshin Shoot
Clark Roach,Connection Map,MF,Earth,85,144,66,54,57,60,36,63,56,15,Tatsumaki Senpuu,Heat Tackle,Twin Boost,Back Tornado
Connor Bation,Connection Map,FW,Wood,140,124,55,59,45,41,44,56,61,34,Grenade Shot,Freeze Shot,Fire Tornado,Back Tornado
Kevin Boardman,Connection Map,GK,Wind,145,130,41,60,75,42,56,61,62,16,Pressure Punch,Spinning Cut,Tatsumaki Senpuu,Gigant Wall
Simon Stryker,Connection Map,GK,Wood,151,160,45,60,61,46,56,59,60,22,Pressure Punch,Horn Train,Harvest,Gigant Wall
Rory Circles,Connection Map,MF,Earth,116,132,45,37,36,55,62,63,63,21,Gorimuchuu,Dokugiri no Jutsu,Dash Storm,Shikofumi
Nick Turine,Connection Map,DF,Wood,182,149,71,67,66,79,44,71,64,13,Shikofumi,The Wall,Earthquake,Mega Quake
Jacob Grimley,Connection Map,FW,Wind,138,194,69,58,44,51,44,62,62,16,Spinning Shoot,Grenade Shot,Hawk Shot,Back Tornado
Tim Crochett,Connection Map,DF,Wind,125,186,52,62,57,70,62,62,53,14,Fake Ball,Ushiro no Shoumen,Kagome Kagome,Bunshin Shoot
Will Bayeux,Connection Map,GK,Earth,151,136,61,57,55,62,58,55,52,35,Killer Blade,Blade Attack,Cyclone,Kogarashi
